Price,Close,High,Low,Open,Volume
Ticker,BSE.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS
Date,,,,,
2017-02-03,276.3705749511719,310.18022411239787,275.31079094112965,280.4546114133354,47315286
2017-02-06,266.0312194824219,281.1783457160131,264.45445283603755,279.420661135822,6598800
2017-02-07,260.24114990234375,267.77594900368535,258.8194829969395,266.2379692753088,3882438
2017-02-08,264.3251953125,267.4916256760992,258.1474341316722,261.8437445597793,3561348
2017-02-09,261.0812683105469,265.9019922687763,260.3316834568498,264.94560008953994,1400052
2017-02-10,259.77587890625,264.68707256490615,259.2589198713427,262.3090136745972,1262607
2017-02-13,258.94873046875,261.18463458239495,258.0957539454734,260.80983039374627,1511583
2017-02-14,259.5174560546875,263.39470900204276,257.96655487574543,259.7501054304532,1538679
2017-02-15,253.7532196044922,261.04244855173334,252.71927786085328,259.0004307650757,1333395
2017-02-16,249.15220642089844,255.17489176099727,248.402621714681,254.0892422587895,1170528
2017-02-17,250.00523376464844,252.79686026744722,249.17809919485381,250.98746789871504,760695
2017-02-20,251.02621459960938,252.38325274358007,248.94541015759182,250.00519390482674,598827
2017-02-21,254.412353515625,257.16519290000167,251.16837346980242,252.0213736211861,1001841
2017-02-22,253.11334228515625,256.3349013300161,252.34691944758512,255.1268256078313,408222
2017-02-23,250.94398498535156,253.7628520522442,250.7101477707924,253.25621664688256,360225
2017-02-27,247.87828063964844,251.6843967609823,247.43662778938298,249.93072477991967,620754
2017-02-28,246.02069091796875,250.68416258020068,244.73466954533208,248.12510682642787,634656
2017-03-01,242.6822509765625,247.85233478093355,242.13665456182082,245.5141052075285,728583
2017-03-02,238.2915802001953,244.86459232177546,237.72000979210983,243.85136900743396,899457
2017-03-03,231.40679931640625,238.21364908795337,230.31563019108486,237.72002439350553,2516490
2017-03-06,246.08563232421875,248.0471436165843,231.22487588265193,231.22487588265193,3721275
2017-03-07,243.87733459472656,250.65820972856977,243.2018444798613,247.85232954264495,1410528
2017-03-08,240.01927185058594,245.12439683314858,239.2658359891143,244.1890955026527,579231
2017-03-09,245.5010986328125,249.6709457965932,238.33051899870185,240.01925607970796,2215683
2017-03-10,243.33177185058594,248.08615304704531,242.29255075807978,246.81311850693353,581853
2017-03-14,245.5010986328125,249.41113460281548,244.21507722715663,248.1121262053256,681813
2017-03-15,245.60504150390625,249.83982402602732,244.2410742329796,245.86485272217377,872238
2017-03-16,245.5790252685547,247.4106191172746,244.9944679672958,246.80008783436796,382401
2017-03-17,245.22825622558594,249.0473587783591,244.5787402511175,245.8258004563911,943929
2017-03-20,243.78640747070312,246.81311417179944,242.91606487547787,246.81311417179944,348168
2017-03-21,243.90328979492188,246.03367970190263,243.17585176570105,244.57877985776207,633309
2017-03-22,242.7601776123047,244.2150774847356,241.87684809536802,244.2150774847356,380574
2017-03-23,243.59152221679688,244.78663461631274,242.33147486155048,243.74741368194617,392298
2017-03-24,245.52708435058594,247.67046139101407,243.17586785948242,244.11116917322215,911808
2017-03-27,243.1108856201172,246.29348339209375,242.69520675893276,245.68295209151682,394650
2017-03-28,244.0202178955078,245.24128052185364,243.22782113039008,243.9292851695354,276681
2017-03-29,247.16384887695312,252.52878495515327,243.43567819912093,244.12415529667007,1497897
2017-03-30,251.1518096923828,252.28193957981986,248.12510335840105,248.9045131231294,873000
2017-03-31,253.99668884277344,254.86703146355615,250.72315782345615,251.4376327392297,830304
2017-04-03,253.9447021484375,256.60767757784015,253.3341470576675,255.6464023650006,388749
2017-04-05,254.45127868652344,257.46499760855113,254.0875478375645,256.11401770015647,464571
2017-04-06,252.21697998046875,254.8409941843891,251.5155160178892,254.60715700639855,214923
2017-04-07,257.71185302734375,260.94639903326316,250.96996282051649,252.0091838456485,775590
2017-04-10,267.6233215332031,268.88336884432675,258.5042182123454,258.5042182123454,1598616
2017-04-11,271.1437072753906,273.0532710081634,264.4927492654018,268.89641035906936,1029114
2017-04-12,272.1959228515625,274.0405278826601,266.32437456544733,271.75424613788437,840570
2017-04-13,267.4934997558594,272.793477810467,266.5581983176563,270.1954367598947,423201
2017-04-17,262.77801513671875,267.32458033271587,261.88169860399387,266.2983463066454,438114
2017-04-18,259.2186584472656,264.7394607545285,258.8549276135833,264.7394607545285,304371
2017-04-19,259.88116455078125,263.440479965894,256.68560379276994,260.8424396905248,389067
2017-04-20,262.6351013183594,264.3757861955289,259.82922157285765,261.2841213006846,266802
2017-04-21,262.5051574707031,264.3887466261712,260.5956181224251,262.7130206558229,270933
2017-04-24,262.3363342285156,263.713288253811,261.27113933967814,262.66108035578037,573987
2017-04-25,261.15423583984375,263.5184390524354,259.81624277055823,262.92089475380436,273552
2017-04-26,262.28436279296875,264.219900139458,260.712556332297,262.401269496068,381597
2017-04-27,261.8297119140625,262.92090462456133,261.21918060154434,262.4012822522194,174531
2017-04-28,260.9594421386719,263.7003638489791,258.98491956774893,262.66114269510933,180780
2017-05-02,260.90740966796875,265.51890935364884,260.3228523647545,261.3101015276456,319686
2017-05-03,260.5177307128906,262.2714027969714,259.28365724367455,261.3880732588515,256962
2017-05-04,260.1020202636719,262.40126466797585,259.2836257856407,260.84244522680825,209205
2017-05-05,258.53021240234375,262.4662219552484,257.2052063703993,261.3620661190926,924774
2017-05-08,261.4399719238281,263.4274808490586,260.3228291661204,260.3228291661204,570552
2017-05-09,258.4263000488281,262.14148329739606,257.5299598210406,262.14148329739606,162804
